review_id,review_text,sentiment_label,sentiment_score,identified_theme(s)
44,i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,neutral,0.05,App Stability & Bugs
45,it just doesn't work...so frustrating,negative,-0.4,General Feedback
46,like,neutral,0.0,General Feedback
47,it's not work correctly... you must have update it,neutral,0.0,App Stability & Bugs
48,"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",neutral,0.1,Account Access & Login Issues; Transaction Performance & Speed
49,after i typed in my password it says successfully logged out ...and goes back to the first page,positive,0.3333333333333333,Account Access & Login Issues
50,good but they don't update enough don't add new things,positive,0.2787878787878787,App Stability & Bugs
51,very good,positive,0.91,General Feedback
52,thank you,neutral,0.0,General Feedback
53,it doesn't work period z slowest mobile banking ever i would rather use *815#,neutral,0.0,Transaction Performance & Speed
54,"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",neutral,0.0,General Feedback
55,good application,positive,0.7,General Feedback
56,this version is not working for me I cannot even buy card. I cannot send money,neutral,0.0,Transaction Performance & Speed
57,"It can't actively on initialization, it says incorrect OTP getting the exact OTP",neutral,0.0583333333333333,Account Access & Login Issues
58,always problematic hardly works,negative,-0.2916666666666667,General Feedback
59,considering the fact the bank is huge this app really bad you could do better,neutral,0.0666666666666667,General Feedback
60,best app,positive,1.0,General Feedback
61,very good,positive,0.91,General Feedback
62,"worst app and Bank ever u be ashamed, scammer",negative,-1.0,General Feedback
63,great BoA,positive,0.8,General Feedback
64,best,positive,1.0,General Feedback
65,i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,positive,0.25,Transaction Performance & Speed
66,good,positive,0.7,General Feedback
67,good,positive,0.7,General Feedback
68,there is no speed,neutral,0.0,General Feedback
69,"For anyone who wants to download it, just don't!!!",positive,0.390625,General Feedback
70,wonderful,positive,1.0,General Feedback
71,all worck,neutral,0.0,General Feedback
72,Best app,positive,1.0,General Feedback
73,Loved it,positive,0.7,General Feedback
74,Wow,neutral,0.1,General Feedback
75,"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",neutral,0.0602272727272727,Account Access & Login Issues; App Stability & Bugs
76,Improved to be the best,positive,1.0,General Feedback
77,BoA,neutral,0.0,General Feedback
78,"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",neutral,0.0833333333333333,Transaction Performance & Speed; App Stability & Bugs
79,BoA Greqt Ethiopian bank.,neutral,0.0,General Feedback
80,"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",positive,0.2,App Stability & Bugs
81,Almost better compared to cbe where it is not qualified for,positive,0.5,General Feedback
82,what awesome apps. it is very simple to use and more much important apps.,positive,0.475,General Feedback
83,Wonderfull app,neutral,0.0,General Feedback
84,i can't use this app why?,neutral,0.0,General Feedback
85,Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,positive,0.1392857142857143,Account Access & Login Issues
86,Wow,neutral,0.1,General Feedback
87,bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,negative,-0.1125,General Feedback
88,AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,negative,-0.125,General Feedback
89,Good app,positive,0.7,General Feedback
90,"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",neutral,0.0416666666666666,General Feedback
91,It has good features but sometimes it doesn't work...0,positive,0.7,General Feedback
92,Very poor proformance,negative,-0.52,General Feedback
93,It's not opening. Really frustrating,negative,-0.4,General Feedback
94,Verry Amazing App from all IB,positive,0.6000000000000001,General Feedback
95,Not working on this days,neutral,0.0,General Feedback
96,Thank you BoA,neutral,0.0,General Feedback
97,best banking app in the wworld,positive,1.0,General Feedback
98,Nice app and it's easy to use,positive,0.5166666666666666,User Interface & Experience
99,"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",neutral,-0.0722222222222222,Transaction Performance & Speed; App Stability & Bugs
100,This is help full i like ittttt,positive,0.35,Customer Service
101,The is not functional at all?,neutral,0.0,General Feedback
102,Best bank,positive,1.0,General Feedback
103,Make it easy and convienient to use and perfect for all to high prefrence and choice.,positive,0.5311111111111111,User Interface & Experience
104,good,positive,0.7,General Feedback
105,🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,neutral,0.0,General Feedback
106,I have been using this app for two years.It is amazing.,positive,0.6000000000000001,General Feedback
107,Good 👍,positive,0.7,General Feedback
108,Sad experience,negative,-0.5,General Feedback
109,Always do update and that is annoying,negative,-0.8,App Stability & Bugs
110,"Best app, somehow waiting a few minutes",positive,0.4,General Feedback
111,I can't dijitalize my atm in the apollo app on my phone,neutral,0.0,General Feedback
112,Whenever I try to sign in app close please fixed it out,neutral,0.1,General Feedback
113,Beter,neutral,0.0,General Feedback
114,Boa,neutral,0.0,General Feedback
115,በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,negative,-0.39,Transaction Performance & Speed
116,Aadan Axmed Barkhadle,neutral,0.0,General Feedback
117,😡😡😡🤬🤬🤬,neutral,0.0,General Feedback
118,Horrible customer service and app crashes Horrible!!,negative,-1.0,App Stability & Bugs; Customer Service
119,I love it,positive,0.5,General Feedback
120,Best,positive,1.0,General Feedback
121,It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,neutral,0.0,General Feedback
122,Good🙏,neutral,0.0,General Feedback
123,Like to much,positive,0.2,General Feedback
124,Thank you,neutral,0.0,General Feedback
125,Perfect,positive,1.0,General Feedback
126,The best of best,positive,1.0,General Feedback
127,I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,positive,0.3083333333333333,User Interface & Experience
128,Boa,neutral,0.0,General Feedback
129,Great 👍,positive,0.8,General Feedback
130,Fast and suitable for the customers.,positive,0.375,Transaction Performance & Speed; User Interface & Experience
131,Good 👍,positive,0.7,General Feedback
132,Good app and helpful,positive,0.7,Customer Service
133,"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",positive,0.1535714285714285,Transaction Performance & Speed; App Stability & Bugs
134,By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,neutral,0.0,General Feedback
135,It doesn't work at all.,neutral,0.0,General Feedback
136,this app is not available,negative,-0.2,General Feedback
137,Best,positive,1.0,General Feedback
138,Wow what amazing,positive,0.35,General Feedback
139,love it,positive,0.5,General Feedback
140,በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,neutral,0.0,General Feedback
141,Lemn embi yilal??,neutral,0.0,General Feedback
142,Good,positive,0.7,General Feedback
143,It's useless app downgraded.,negative,-0.5,General Feedback
144,Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,neutral,0.1,Account Access & Login Issues
145,Nice,positive,0.6,General Feedback
146,When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,negative,-0.2333333333333333,General Feedback
147,አይሰራም ሼም ነው፤,neutral,0.0,General Feedback
148,Not that much bad,negative,-0.6999999999999998,General Feedback
149,Fine,positive,0.4166666666666667,General Feedback
150,The dirtiest application ever seen...,neutral,0.0,General Feedback
151,Nic ap,neutral,0.0,General Feedback
152,The forest app ever,neutral,0.0,General Feedback
153,"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",positive,0.375,General Feedback
154,Bank of abissena,neutral,0.0,General Feedback
155,Good,positive,0.7,General Feedback
156,"Easy and sooo simple to use it, also its easy to stole someones money using the app",positive,0.2888888888888889,User Interface & Experience
157,GOOD,positive,0.7,General Feedback
158,The worst banking app ever. Never works!,negative,-1.0,General Feedback
159,Poorly functioning app,negative,-0.4,General Feedback
160,Very nice,positive,0.78,General Feedback
161,Your system is the worst you should do better😡😡😡😡😡😡,negative,-1.0,General Feedback
162,It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,neutral,-0.0875,General Feedback
163,"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",positive,0.3714285714285714,App Stability & Bugs; Customer Service
164,"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",negative,-0.295,General Feedback
165,Nice,positive,0.6,General Feedback
166,Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,neutral,-0.06,Transaction Performance & Speed
167,It doesn't work on my 2 devices A05 and A34 😡,neutral,0.0,General Feedback
168,It's better to say I don't use boa rather than pulling your phone out and opening this app,positive,0.5,General Feedback
169,My attention is very important because it will be the most difficult time for me,positive,0.1733333333333333,General Feedback
170,"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",negative,-0.190625,Account Access & Login Issues; Transaction Performance & Speed
171,I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,positive,0.4,General Feedback
172,This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,negative,-0.1075,General Feedback
173,exellent digital transaction of money,neutral,0.0,Transaction Performance & Speed
174,The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,positive,0.1666666666666666,App Stability & Bugs
175,Best,positive,1.0,General Feedback
176,Great,positive,0.8,General Feedback
177,👏👏👏,neutral,0.0,General Feedback
178,Money,neutral,0.0,General Feedback
179,It needs more improvment,positive,0.5,General Feedback
180,Hey Google,neutral,0.0,General Feedback
181,Good app,positive,0.7,General Feedback
182,ab,neutral,0.0,General Feedback
183,Ademtahir,neutral,0.0,General Feedback
184,✌️✌️,neutral,0.0,General Feedback
185,Please this app on my android phone,neutral,0.0,General Feedback
186,GOAT 🐐 🐐,neutral,0.0,General Feedback
187,"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",neutral,0.0166666666666666,Transaction Performance & Speed
188,Fast and reliable,positive,0.2,Transaction Performance & Speed
189,"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",negative,-0.2797619047619047,App Stability & Bugs
190,Very good,positive,0.91,General Feedback
191,One of the poorest mobile banking system,neutral,0.0,General Feedback
192,❤❤❤❤❤❤,neutral,0.0,General Feedback
193,Oene,neutral,0.0,General Feedback
194,i find it interesting specially in reciept downloading,positive,0.4285714285714286,General Feedback
195,it good,positive,0.7,General Feedback
196,"This app crashes everytime, please fix it",neutral,0.0,App Stability & Bugs
197,አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,neutral,0.0,General Feedback
198,I need a support the app is not working,neutral,0.0,Customer Service
199,Bast bank of ethiopia,neutral,0.0,General Feedback
200,Good,positive,0.7,General Feedback
201,very slow app. አቢሲኒያን ከሚያክል ባንክ የማይጠበቅ software app. ከቻላችሁ ሙሉ ለሙሉ እንደገና አሰሩት።በጣም ይመራያል ያሳፍራል።ለapp የወጣው ወጭ በሙስና የተበላ ነው የሚመስለው።,negative,-0.39,Transaction Performance & Speed
202,"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",neutral,0.0333333333333333,General Feedback
203,The worst App i have never seen like this before,negative,-1.0,General Feedback
204,Wweeeer,neutral,0.0,General Feedback
205,Infinx,neutral,0.0,General Feedback
206,Great service,positive,0.8,General Feedback
207,👍,neutral,0.0,General Feedback
208,This app is not available on all android versions and some times it is not functional.,negative,-0.2,General Feedback
209,senayt Mesfin,neutral,0.0,General Feedback
210,Bad app vety bad.,negative,-0.6999999999999998,General Feedback
211,Nice,positive,0.6,General Feedback
212,Abessnya Banke,neutral,0.0,General Feedback
213,"The most useless app, I never expected such an irrelevant app from BOA. big shame!",neutral,-0.075,General Feedback
214,Okay,positive,0.5,General Feedback
215,Professional on banking app,neutral,0.1,General Feedback
216,Has some nice interface but always freezes or slow to load .App developers please fix this issue.,positive,0.1499999999999999,Transaction Performance & Speed; App Stability & Bugs; User Interface & Experience
217,አይሰራም አስተካክሉት,neutral,0.0,General Feedback
218,Please try another because this app doesn't feet the need of this generation,neutral,0.0,General Feedback
219,Good,positive,0.7,General Feedback
220,Fast transfer,positive,0.2,Transaction Performance & Speed
221,"What's up I can't log in, what's wrong",negative,-0.5,General Feedback
222,Amrumehamed,neutral,0.0,General Feedback
223,Good,positive,0.7,General Feedback
224,"Nice to meet you my proud bank in Ethiopia.. I'm a member of this bank, i need to solve my problem of international receiving money for me from my online digital working service's over the world please? I'm working a lot of international money.But i can't get direct in Ethiopia because of don't knowing the legal ways of getting money in Ethiopia please can I get and direct deposit with BoA please 🙏🙏🙏?",positive,0.225,Transaction Performance & Speed
225,Very good,positive,0.91,General Feedback
226,ደደገነሐ,neutral,0.0,General Feedback
227,"Terrible Bank Experience It’s unbelievable that with all the modern technology, this bank still struggles with even basic transactions. The app constantly crashes, services are limited, and every time I try to transfer money or load Telebirr, there’s a huge delay. I have to wait 5 days for failed transactions to be refunded! Even USSD is unreliable. They’ve put me in embarrassing situations countless times, and customer care never fixes anything. I’ve switched banks, and you should too!",negative,-0.1496031746031746,Transaction Performance & Speed; App Stability & Bugs
228,A painfully slow banking app service. Please don't make it your choice!,negative,-0.375,Transaction Performance & Speed
229,Good App,positive,0.7,General Feedback
230,Best app to me,positive,1.0,General Feedback
231,BOA,neutral,0.0,General Feedback
232,Abdulkadir,neutral,0.0,General Feedback
233,Bad,negative,-0.6999999999999998,General Feedback
234,If it is possible I would gove0 star,neutral,0.0,General Feedback
235,Nise mobile bankig,neutral,0.0,General Feedback
236,Overall good app but performance needs some improvement also sometimes when using instant other bank transfers it refuses causing to be repeated several times to transfer,positive,0.1149999999999999,Transaction Performance & Speed
237,Ok,positive,0.5,General Feedback
238,Just make it work please🤣 this is embarrassing for a bank of your size,neutral,0.0,General Feedback
239,Update to the simplest way it requires the developer option on and off why this is,neutral,0.0,App Stability & Bugs; User Interface & Experience
240,"Stop telling me what to do with my phone, BOA. Why does your newly updated app keep asking me to disable the developer options? I’m not slowing down my phone just to use your God damn app. 🤮🤮🤮🤮",neutral,-0.0095959595959596,Transaction Performance & Speed; App Stability & Bugs
241,I'm living out of country how may I download and use mobile banking? It asks me the Ethiopia phone number and I can't receive text to confirm because I'm out side the country. So please lete know if I can use while I'm outside the country. Thanks,neutral,0.1,General Feedback
242,Good,positive,0.7,General Feedback
243,Worest app,neutral,0.0,General Feedback
244,The worest app ever,neutral,0.0,General Feedback
245,አሪፍ ነው በርቱልን,neutral,0.0,General Feedback
246,Wwwerrr,neutral,0.0,General Feedback
247,ጀማል ውቀቱ,neutral,0.0,General Feedback
248,Great For Financial company,positive,0.4,General Feedback
249,Very easy to use,positive,0.5633333333333334,User Interface & Experience
250,The App's crash always.. Error.....,neutral,0.0,App Stability & Bugs
251,This app is incredibly frustrating to use. It’s filled with issues that make it difficult to navigate and complete tasks efficiently. I’ve never encountered such a poorly designed banking application before. It needs significant improvements to enhance user experience. It deserves a vey low rating.,neutral,-0.053125,App Stability & Bugs; User Interface & Experience
252,nice,positive,0.6,General Feedback
253,Great UI and seamless UX. I love it!!,positive,0.5604166666666667,User Interface & Experience
254,That's too good application but try to add more alternatives and futures or possibilitys for your customers,positive,0.6,General Feedback
255,It's easy used to operate program and secured 👍👍,positive,0.4333333333333333,User Interface & Experience
256,I bought a mobile card on this app but I didn't receive it and it took my money and I didn't get my money back.,neutral,0.0,General Feedback
257,Amazing,positive,0.6000000000000001,General Feedback
258,Great app with great services,positive,0.8,General Feedback
259,Yes active user,negative,-0.1333333333333333,General Feedback
260,Shameful,neutral,0.0,General Feedback
261,The worest app ever made i would not recommende for no one,neutral,0.0,General Feedback
262,Good application,positive,0.7,General Feedback
263,I like,neutral,0.0,General Feedback
264,Good,positive,0.7,General Feedback
265,"How many hours should I wait after transferring money to telebirr, please do something about the transfer delay issue I need my money when ever.",positive,0.5,Transaction Performance & Speed; App Stability & Bugs
266,"BOA is unreasonably holding and delaying transactions for more than a day, even transactions within the same bank itself. This is a huge gap that I observed in BOA mobile banking. I didn't experience this kind of challenge while having transactions in other banks' mobile banking platforms. After waiting so long, I called your customer support team and the response they gave me was ""it was the system that holds the transaction & will be released on working days"". This is not totally fair.",positive,0.1392857142857143,Transaction Performance & Speed; Customer Service
267,የእርስዎን ተሞክሮ ይግለጹ (አማራጭ),neutral,0.0,General Feedback
268,It's not working. It needs a big update. Can't you update the app quickly?,positive,0.1666666666666666,App Stability & Bugs; User Interface & Experience
269,"I am Aimohon Joel , It's can be Good for a Better Conversation in Time 🙂",positive,0.6,General Feedback
270,"Better app than most mobile apps, but why do I have to turn off developer option every time I wanna use the app?? It's annoying.",neutral,0.0666666666666666,General Feedback
271,Bes and freindly app,neutral,0.0,General Feedback
272,It doesn't work.,neutral,0.0,General Feedback
273,"It say ""The request was not successful. please check device connectivity or try again"" why? One of the bank manager told me it is because of my phone's android version which is 9.1 It is ridiculous! Disappointing",negative,-0.4638888888888888,General Feedback
274,How to download or screenshot of payment receipt...what kinda worst app ever 🤮🤮🤢,negative,-1.0,General Feedback
275,Good,positive,0.7,General Feedback
276,Smart technology,positive,0.2142857142857142,General Feedback
277,Yegema app tish🪨,neutral,0.0,General Feedback
278,Ok,positive,0.5,General Feedback
279,"This is not an appropriate app, i don't know how boa develops this app, i don't expect this much crazy and un confortable app form BOA, I'm soory!!!",negative,-0.25,General Feedback
280,"Shockingly bad! Even when it decides to work, it's painfully slow and frustrating. Such a shame that it has become a stain on an extraordinary bank",negative,-0.2483333333333333,Transaction Performance & Speed
281,"It crashes frequently. It launches on Android 8.1 but I don't think it actually works on versions less than 10. If so, it shouldn't be available for download by such devices to begin with, like many other finance apps are not. It was so much better three months ago, upgrades should be for the better.",positive,0.1898148148148148,App Stability & Bugs
282,Awesome application. But lately its crashing everytime i opened it.,positive,0.35,App Stability & Bugs
283,እጅም በጣም ደካማ አፕ ነው ሲፈልግ ይከፍታል ሲፈልግ አይከፍትም ከአዋሽ እና ንግድ ባንክ የመሳሰሉ ባንኮች ሲወዳደር ሞባይል ባንኪንግ App እጅግ የሚያበሳጭ ነው ለውጥ ያስፈልጋችኋል,neutral,0.0,General Feedback
284,good,positive,0.7,General Feedback
285,Fast one,positive,0.2,Transaction Performance & Speed
286,Nice looking app but a terrible user experience.,negative,-0.2,General Feedback
287,The worest MB app ever!!🙄,neutral,0.0,General Feedback
288,Very good,positive,0.91,General Feedback
289,It is ok,positive,0.5,General Feedback
290,Plz fix the Apps ....screenshot lovation hide from glarey share botten not work😔😔,neutral,0.0,General Feedback
291,Good,positive,0.7,General Feedback
292,Apollo's,neutral,0.0,General Feedback
293,The worst experience ever,negative,-1.0,General Feedback
294,Hussenaliumar,neutral,0.0,General Feedback
295,Good,positive,0.7,General Feedback
296,Hi I have problem with this App BOA mobile I don't know what is wrong with this App I did many times download but it's sam doesn't work if sam like that this app way I have to be customer with them how I know my account and checking save The book is no Not enough alone,neutral,0.0,General Feedback
297,It is not work for my device,neutral,0.0,General Feedback
298,"I'm Sick and tiered of enabling and disabling Developer Option Everytime I use this app. maybe you know it maybe you dont, fix it please it's anoying",negative,-0.7142857142857143,General Feedback
299,The worst app ever,negative,-1.0,General Feedback
300,Good,positive,0.7,General Feedback
301,Betanya Gebre,neutral,0.0,General Feedback
302,I dont recommand it to any one,neutral,0.0,General Feedback
303,Good,positive,0.7,General Feedback
304,Excellent app,positive,1.0,General Feedback
305,"The application used to work well. But after updates I'm not able to use the forgot password feature, which is blocking me from accessing it as a whole.",neutral,-0.0249999999999999,Account Access & Login Issues; App Stability & Bugs
306,ትርሃስ,neutral,0.0,General Feedback
307,Gio,neutral,0.0,General Feedback
308,App isn't working,neutral,0.0,General Feedback
309,Best app,positive,1.0,General Feedback
310,so far good but always it lugs,positive,0.3999999999999999,General Feedback
311,Don't trust this bank and its service.,neutral,0.0,General Feedback
312,"I can not open and use the application,please help me!",neutral,0.0,Customer Service
313,Horrible,negative,-1.0,General Feedback
314,Mostly not working 😑,negative,-0.25,General Feedback
315,Good,positive,0.7,General Feedback
316,Awesome 👌,positive,1.0,General Feedback
317,"Despite the enhanced technology you have, the application doesn't work properly, and it asks for the developer option to be turned off, fix that.",neutral,0.0,General Feedback
318,Thank you,neutral,0.0,General Feedback
319,Very poor app b/c highly slow to open the app,negative,-0.2733333333333334,Transaction Performance & Speed
320,Ok,positive,0.5,General Feedback
321,best,positive,1.0,General Feedback
322,Best app,positive,1.0,General Feedback
323,Wedi Tekle .,neutral,0.0,General Feedback
324,Bad app📱👎👎👎,negative,-0.6999999999999998,General Feedback
325,Dura nan fayyadaman ture amma garuu naaf hojjechaa hin jiru maaf?,neutral,0.0,General Feedback
326,Nice appp,positive,0.6,General Feedback
327,ሰላም አቢሲኒያዎች የሞባይል ባንኪንጋችሁ ተጠቃሚ ነኝ አገልግሎቱን ስላስጀመራችሁለን እናመሰግናለን። ነገር ግን አለፎ አልፎ የነበረው የማስፈንጠሪያው በአግባቡ አለመስራት አልፎ አልፎ ወደመስራት ተቀይሯል ድሮ እንደነበራችሁ እናውቃለን ዘንድሮም ብትኖሩልን እንመርጣለን *ከዘመን አንጉደል*,neutral,0.0,General Feedback
328,Gooood app my dear,neutral,0.0,General Feedback
329,Harun tamam galanaa,neutral,0.0,General Feedback
330,"A total disaster of an app. Always offline, never works, it's embarassing. I've lost hope and taken my business to a competitor",neutral,0.0,General Feedback
331,Gamebela,neutral,0.0,General Feedback
332,so poor app to use can't start up when open the app,negative,-0.2,General Feedback
333,"This app takes too long time to be opened. And even it is not working simply as other banks application. Why this app does not give a digital invoice. Even, I am not able to find where the screeshot is kept after transaction. So, please the developer should fix all these.",negative,-0.10625,Transaction Performance & Speed
334,Good job,positive,0.7,General Feedback
335,"Worst app ever, not user friendly, even doesn't serve basic functionality correctly, takes to much time to login and navigate through the app, we expected more from this bank",neutral,-0.0041666666666666,Account Access & Login Issues; User Interface & Experience
336,good,positive,0.7,General Feedback
337,Good,positive,0.7,General Feedback
338,Bad app .,negative,-0.6999999999999998,General Feedback
339,"I mean how could a big financial company like this, be this much irresponsible to release this app? You should be ashamed!",neutral,-0.015625,General Feedback
340,Review,neutral,0.0,General Feedback
341,Goood,neutral,0.0,General Feedback
342,Ok,positive,0.5,General Feedback
343,👎👎👎👎👎👎👎👎👎,neutral,0.0,General Feedback
344,Is it necessary to switch off developer options every time to use mobile banking?🤔🤔😡😡😡,neutral,0.0,General Feedback
345,The previous version is better it doesn't work,positive,0.1666666666666666,General Feedback
